sample_id,jaccard,f1,recall,precision,accuracy
125,0.041102650874224475,0.07895984289293695,0.7436224489795918,0.04169348494600587,0.7924652099609375
126,0.7818257089629477,0.8775557620817844,0.7826357231661831,0.9986779481755684,0.951751708984375
127,0.8109218707758854,0.8955901233093482,0.951227246781252,0.8461017714092294,0.9466400146484375
128,0.8251719951436666,0.9042128603104213,0.8867530660172219,0.9223740161042251,0.967041015625
129,0.8150594451783355,0.8981077147016011,0.9983818770226537,0.8161375661375662,0.99359130859375
130,0.8455813953488373,0.9163306451612904,0.9896570495372891,0.8531206006569686,0.99493408203125
131,0.7574920045800924,0.8620147375988497,0.7693078835512069,0.980126698681925,0.906280517578125
132,0.7782722811822436,0.8753128409163833,0.9679937548790007,0.7988286969253294,0.940704345703125
133,0.15172316184275705,0.2634715821812596,0.9705749207786328,0.15242428551116166,0.8170928955078125
134,0.8915684014540296,0.9426763534098899,0.9128540305010894,0.9745130342087411,0.9813385009765625
135,0.2601756539805459,0.4129196642685851,0.9291736930860034,0.2654398304268234,0.880462646484375
136,0.7367094986142605,0.8483969244160743,0.9865047233468286,0.744209722575719,0.9840545654296875
137,0.3972422849638871,0.568609022556391,1.0,0.3972422849638871,0.97198486328125
138,0.8842325825039288,0.9385599110369752,0.9354391798282072,0.9417015341701535,0.993255615234375
139,0.6966507177033493,0.8212069937958263,0.9391817176557317,0.729563350035791,0.9661407470703125
140,0.8567498526233052,0.9228489787279077,0.9119431081363731,0.934018851756641,0.9888763427734375
141,0.8910218105766358,0.9423707390291108,0.9129802540945967,0.9737164313117297,0.9777374267578125
142,0.7976937860345932,0.8874634737367258,0.7993323918346386,0.9974367190003204,0.90362548828125
143,0.9102828042041391,0.953034600113443,0.9320980805503162,0.9749332714401764,0.9747314453125
144,0.19474747474747475,0.3260060872505918,0.5357539829566507,0.23428386260531434,0.817535400390625
145,0.6771050800278358,0.8074688796680498,0.8263770929386072,0.7894065832174316,0.950439453125
146,0.09608723540731239,0.17532771535580524,0.6117615028586986,0.102327064073956,0.677459716796875
147,0.9105655414291978,0.953189536484626,0.957363447799032,0.9490518620059402,0.9937744140625
148,0.22140514757030708,0.362541697176796,0.8901318417898522,0.22762566407846344,0.8804473876953125
149,0.7108343423859771,0.8309797445316977,0.7112034152532595,0.9992704871524681,0.9234771728515625
150,0.02701468189233279,0.05260817078594574,1.0,0.02701468189233279,0.7724761962890625
151,0.8748575336220652,0.9332522796352584,0.8987238028333919,0.970539891263118,0.983245849609375
152,0.7561720749731649,0.8611594339179087,0.8816790218542409,0.8415732402131961,0.9549407958984375
153,0.9016029201714013,0.9482557169086964,0.9861135219579934,0.9131972351711943,0.99053955078125
154,0.7805318450426789,0.8767401124734949,0.7944862155388471,0.9779925956396545,0.9795989990234375
155,0.6836339120175291,0.8120933026328961,0.7244150741203786,0.9239179954441914,0.9713592529296875
156,0.22004008016032064,0.3607095926412615,0.2510670731707317,0.640357698289269,0.910919189453125
157,0.557815678297606,0.7161510646846123,0.9446210916799153,0.576674215464251,0.956878662109375
158,0.7646008924144769,0.8665992357833221,0.8113425925925926,0.9299324650265316,0.963775634765625
159,0.595210355987055,0.7462468554735048,0.8716587677725118,0.6523836549375709,0.9522857666015625
160,0.8148148148148148,0.8979591836734694,0.948016415868673,0.8529230769230769,0.990386962890625
161,0.5698644421272159,0.7260046496180671,0.7049338922928088,0.7483738445737761,0.94964599609375
162,0.7459763216760326,0.8545090931816761,0.7520488421978989,0.9892916576224586,0.928955078125
163,0.46107784431137727,0.6311475409836066,0.58822336398053,0.680829420970266,0.844818115234375
164,0.8353643675359493,0.9102981209747029,0.8909539901221731,0.9305008823130175,0.9793853759765625
165,0.016871555743959304,0.033183258295814574,1.0,0.016871555743959304,0.82305908203125
166,0.8834624031976018,0.9381258704158101,0.9715659340659341,0.9069111424541608,0.971527099609375
167,0.9478755330911388,0.9732403503081414,0.9699369646032002,0.976566314076485,0.994964599609375
168,0.44982249875939995,0.620520786709144,0.45063097514340344,0.9960273856816837,0.7800750732421875
169,0.06539173349784085,0.12275622466705269,0.9445544554455445,0.06564370742448221,0.7919464111328125
170,0.678654400148685,0.808569530558016,0.6802347242921013,0.9965884279475983,0.89447021484375
171,0.9061480552070263,0.9507635597682991,0.9616511318242343,0.9401197604790419,0.994293212890625
172,0.45049414348462663,0.6211595482934831,0.45244003308519437,0.990543259557344,0.816741943359375
173,0.6061863447755564,0.754814466885862,0.8290627687016338,0.6927719499928151,0.95220947265625
174,0.4874513197749892,0.6554181818181818,0.8947577442414615,0.5170989212761075,0.9638519287109375
175,0.027527656290198096,0.05358037055583375,0.9683257918552036,0.027552465559418052,0.769287109375
176,0.7356904231625835,0.8477207840118051,0.9177606445787316,0.7876132570338579,0.9275665283203125
177,0.06146651077334224,0.11581431943351692,1.0,0.06146651077334224,0.828521728515625
178,0.536496708910502,0.6983375959079284,0.5953665849005179,0.8443757247777348,0.85601806640625
179,0.4467923091566724,0.6176315789473684,0.9690338563170933,0.4532638084202395,0.955657958984375
180,0.9452007383479465,0.9718284799240852,0.9495460691520186,0.99518179609685,0.9782562255859375
181,0.741353001017294,0.8514677961150869,0.8921876195577321,0.8143026747677911,0.93792724609375
182,0.0,0.0,0.0,0.0,0.772735595703125
183,0.7537527407657277,0.8595883823812271,0.9796142042963613,0.7657642220699109,0.97772216796875
184,0.15681497627901014,0.2711150520948792,1.0,0.15681497627901014,0.899658203125
185,0.6592838685861941,0.7946607341490545,0.9033889731917046,0.7092930897537728,0.9859161376953125
186,0.9750977771176791,0.9873919037473368,0.9854405363486266,0.9893510146674703,0.9923248291015625
187,0.00014999250037498125,0.00029994001199760045,0.0035087719298245615,0.00015666614444618518,0.898284912109375
188,0.5297047314123088,0.6925581395348838,0.9341279799247177,0.5502586844050259,0.95965576171875
189,0.7582324198002974,0.8624939584340261,0.9581208053691275,0.7842232476378818,0.982635498046875
190,0.8123492522913651,0.8964599414426404,0.8589645498597297,0.9373782354578347,0.97625732421875
191,0.7170692958272978,0.8352246441886413,0.7769733178066933,0.9029183337255825,0.9076080322265625
192,0.49164891482201845,0.6592019206887988,0.49193747683183,0.9988083291520321,0.748748779296875
193,0.7644151565074135,0.8664799253034547,0.9236894492368944,0.8159437280187574,0.9934539794921875
194,0.32161547212741753,0.4867005250925368,0.6318730442556996,0.3957720845583088,0.9090118408203125
195,0.2909815645241654,0.4507912003087611,0.5736738703339882,0.3712650985378258,0.9348602294921875
196,0.046658800815188244,0.08915761426521829,0.9235668789808917,0.04683966835361258,0.8643798828125
197,0.25345986555950967,0.40441640378548893,0.9245192307692308,0.25881561238223416,0.91357421875
198,0.875,0.9333333333333333,0.9834177798249655,0.8881031613976705,0.9953460693359375
199,0.020435362061306087,0.04005224205485416,0.9975903614457832,0.02043637081646757,0.6971893310546875
200,0.05400466317978449,0.10247518832954682,0.8312318137730359,0.054603376871615164,0.77093505859375
201,0.0184821077467558,0.036293436293436294,0.9641025641025641,0.018494835218888343,0.6953125
202,0.08229015680590328,0.15206671942533634,0.9334828101644245,0.08277553184438995,0.7874603271484375
203,0.7773722627737226,0.8747433264887063,0.8612752721617418,0.8886392811296534,0.975799560546875
204,0.6108764519535375,0.7584398557849885,0.9383617193836172,0.6364136413641364,0.977508544921875
